title,price,size,unit,streetAddress,addressLocality,addressRegion,time_update,post_id,direction,listing_type,road_width,property_type,legal_documents,width,length,num_floors,num_bedrooms,has_dining_room,has_kitchen,has_rooftop,has_parking,is_owner
Hoà sơn cần bán 1 lô bê tông sát nhựa hoà khánh.,"1,6 tỷ",151,m²,Đường DH8,Phường Hòa Khánh,Đà Nẵng,2025-10-19,17423551,Nam,Cần bán,"5,5m","Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,5m,23m,,,,,,,
CẦN BÁN NHÀ ĐỊNH CÔNG THƯỢNG - HOÀNG MAI  OTO ĐỖ CỬA 🏘️6TẦNG THANG MÁY VIP GIÁ BÁN 19tỷ R,19 tỷ,40,m²,Đường Định Công Thượng,Phường Định Công,Hà Nội,2025-10-19,17262702,,Cần bán,6m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,4m,10m,6,4,,,,,
🍀MỚI VỀ - DUY NHẤT - 🍀 MẶT TIỀN KHUÊ TRUNG🍀   • An Hoà | 78m2 x 3 mê -  Mặt tiề,"5,3 tỷ",78,m²,Đường Hòa An,Phường Cẩm Lệ,Đà Nẵng,2025-10-18,17523996,,Cần bán,5m,Nhà mặt tiền,,5m,15m,3,4,yes,yes,yes,yes,
Bán 100M2 Đất Sổ Đỏ Hà Nội - Vị Trí Trung Tâm -Dễ Mua - Dễ Bán - Dễ Sinh Lời Giá Rẻ,"1,75 tỷ",100,m²,Đường Hữu Nghị,Phường Tùng Thiện,Hà Nội,2025-10-18,16888083,,Cần bán,5m,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,5m,20m,,,,,,,
HOT! Căn hộ 40m2 2PN ngay mặt tiền QL1A cách chợ Bình Chánh 5p SHR,"1,2 tỷ",40,m²,Quốc lộ 1A,Xã Mỹ Yên,Tây Ninh,2025-10-18,17468988,,Cần bán,30m,Căn hộ chung cư,Sổ hồng/ Sổ đỏ,"5,5m","7,22m",5,2,,,,,
"Bán nhà mặt tiền khu K300 Tân Bình DT 6x25, Trệt 3 tầng giá 26 tỷ",26 tỷ,156,m²,Đường C18,Phường Tân Bình,Hồ Chí Minh,2025-10-18,17522767,,Cần bán,10m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,6m,26m,4,8,,,,,
Bán nhà hẻm 10m Yên Thế (11x14m) Giá 21 tỷ Phường 2 Tân Bình,21 tỷ,150,m²,Đường Bạch Đằng,Phường Tân Sơn Hòa,Hồ Chí Minh,2025-10-18,17522576,,Cần bán,10m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,11m,14m,2,5,,,,,
"Đất Vị Trí Đẹp An Phư Đông,Giá 3 Tỷ 280 Triệu/52,Sổ 2025","3,28 tỷ",53,m²,Đường Vườn Lài,Phường An Phú Đông,Hồ Chí Minh,2025-10-18,17519636,,Cần bán,12m,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,5m,"10,6m",,,,,,,
Bán nền Khu Nam Long 2  chủ góc giá cực tốt,"3,35 tỷ",90,m²,Đường Lê Trọng Tấn,Phường Cái Răng,Cần Thơ,2025-10-18,17506216,Đông Bắc,Cần bán,13m,"Đất nền, liền kề, đất dự án",Sổ hồng/ Sổ đỏ,6m,15m,,,,,,,
Mặt tiền khu đường Hoa Quận Phú Nhuận (8x16 CN 130M2) Hầm 5T hđt 180tr/tháng Giá 49Tỷ TL,49 tỷ,130,m²,Đường Hoa Trà,Phường Cầu Kiệu,Hồ Chí Minh,2025-10-18,17502546,,Cần bán,8m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,8m,16m,6,10,yes,yes,yes,yes,
Sở hữu ngay Căn hộ 6 tầng hot quá nè,25 tỷ,100,m²,Đường Đinh Thị Hòa,Phường An Hải,Đà Nẵng,2025-10-17,17518143,,Cần bán,"7,5m",Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,6,8,yes,yes,yes,yes,
"Đất 15x21 An Phú Đông giá 5.2 tỷ,sổ chính chủ,gần ngã tư vườn lài","5,2 tỷ",301,m²,Đường Vườn Lài,Phường An Phú Đông,Hồ Chí Minh,2025-10-17,17465453,,Cần bán,5m,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,15m,21m,,,,,,,
"cần bán nhà riêng tại bát tràng hà nội 16,5 tỷ. 205m2 ở dat","16,5 tỷ",205,m²,Đường Đa Tốn,Xã Bát Tràng,Hà Nội,2025-10-17,17515447,Nam,Cần bán,4m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,7m,29m,3,4,,,,,
"Bán căn góc2 mặt tiền chung cư Harmony, tầng 14, diện tích 61.5m giá chỉ 4.2 tỷ","4,2 tỷ",62,m²,Đường Phạm Văn Đồng,Phường An Hải,Đà Nẵng,2025-10-17,17452193,,Cần bán,,Căn hộ chung cư,,,,1,2,,,,,
Nhà sổ riêng trả trước 400 triệu gần ngã 4 Bến Cá ( Chợ Tân Bình),"1,85 tỷ",81,m²,Hương Lộ 9,Phường Tân Triều,Đồng Nai,2025-10-17,17513790,,Cần bán,8m,Nhà mặt tiền,,,,2,3,yes,yes,,,
Nhà sổ riêng trả trước 400 triệu gần ngã 4 Bến Cá ( Chợ Tân Bình),"1,85 tỷ",81,m²,Hương Lộ 9,Phường Tân Triều,Đồng Nai,2025-10-17,17513769,,Cần bán,8m,Nhà mặt tiền,,,,2,3,yes,yes,,,
Bán đất sổ riêng 2 mặt tiền trả trước 300 triệu gần chợ Thạnh phú và kDC lavender,"1,15 tỷ",88,m²,Đường Ấp 3,Phường Tân Triều,Đồng Nai,2025-10-17,17513689,,Cần bán,5m,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,5m,18m,,,,,,,
SIÊU PHẨM NHÀ ĐẸP ĐƯỜNG VÕ THỊ SÁU. GIÁ CHỈ 14tỷ800tr,"14,8 tỷ",97,m²,Đường Võ Thị Sáu,Phường Vũng Tàu,Hồ Chí Minh,2025-10-17,17512909,Tây Nam,Cần bán,7m,Nhà mặt tiền,,"7,3m","13,5m",2,3,yes,yes,yes,yes,
bán nhanh mảnh đất ven đô thuộc TX Sơn Tây. Cần tiền mua cc cho con. Giá hợp lý,"1,95 tỷ",100,m²,Đường Đồng Mô,Phường Sơn Tây,Hà Nội,2025-10-17,17512830,Đông Nam,Cần bán,6m,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,5m,20m,,,,,,,
CHÍNH CHỦ CẦN BÁN HẺM XE HƠI 5 M ĐƯỜNG CỘNG HOÀ P 13 QUẬN TÂN BÌNH,18 tỷ,105,m²,Đường Cộng Hòa,Phường Tân Bình,Hồ Chí Minh,2025-10-16,17506131,,Cần bán,5m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"5,3m",24m,3,6,yes,yes,yes,yes,
🧨 LÔ GÓC CỰC HIẾM – MẶT TIỀN LẠC LONG QUÂN – CÁCH BIỂN CHỈ 100M 🔥,"17,2 tỷ",530,m²,Đường Lạc Long Quân,Phường Điện Bàn Đông,Đà Nẵng,2025-10-16,17505221,,Cần bán,15m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,14m,38m,1,4,yes,yes,yes,yes,
Nhà ko có nhu cầu sử dụng bán gấp lô đất 113m2 full thổ cư tại chương mỹ,"1,7 tỷ",113,m²,Quốc lộ 21,Xã Trần Phú,Hà Nội,2025-10-15,17502968,,Cần bán,6m,"Đất nền, liền kề, đất dự án",Sổ hồng/ Sổ đỏ,5m,21m,,,,,,,
